[0;93m2026-04-14 18:01:17.202637526 [W:onnxruntime:Default, device_discovery.cc:325 DiscoverDevicesForPlatform] GPU device discovery failed: device_discovery.cc:92 ReadFileContents Failed to open file: "/sys/class/drm/card1/device/vendor"[m
Initializing Z9 HFT Oracle Engine...
[Z9] ONNX Model loaded.
Oracle initialized.
FeedHandler initialized.
Adding Kraken...
Connections established. Streaming Kraken L2/Trade data...
[KRAKEN] Trade BTC-USD | buy 0.00001324 @ 74254.90000 | Time: 1776204180.325177
[KRAKEN] Trade BTC-USD | sell 0.00013467 @ 74254.80000 | Time: 1776204181.567448
[KRAKEN] Trade ETH-USD | sell 0.00259985 @ 2322.80000 | Time: 1776204182.978271
[KRAKEN] Trade BTC-USD | sell 0.00134700 @ 74234.70000 | Time: 1776204183.435729
[KRAKEN] Trade BTC-USD | buy 0.00013254 @ 74219.50000 | Time: 1776204184.732591
[KRAKEN] Trade BTC-USD | buy 0.01697689 @ 74214.70000 | Time: 1776204185.186196
[KRAKEN] Trade SOL-USD | sell 0.02420913 @ 83.65000 | Time: 1776204185.584049
[KRAKEN] Trade SOL-USD | sell 0.49353629 @ 83.65000 | Time: 1776204185.584049
[KRAKEN] Trade BTC-USD | buy 0.00026815 @ 74217.10000 | Time: 1776204191.119942
[KRAKEN] Trade SOL-USD | sell 1.79190000 @ 83.66000 | Time: 1776204191.541578
[KRAKEN] Trade BTC-USD | buy 0.00090000 @ 74214.70000 | Time: 1776204193.976174
[KRAKEN] Trade BTC-USD | buy 0.00591026 @ 74214.70000 | Time: 1776204193.976174
[KRAKEN] Trade ETH-USD | buy 0.01812755 @ 2322.78000 | Time: 1776204194.208752
[KRAKEN] Trade SOL-USD | buy 0.17535837 @ 83.67000 | Time: 1776204197.124878
[KRAKEN] Trade BTC-USD | buy 0.00327845 @ 74214.70000 | Time: 1776204200.756981
[KRAKEN] Trade BTC-USD | sell 0.00018855 @ 74214.60000 | Time: 1776204206.271615
[KRAKEN] Trade BTC-USD | sell 0.00089125 @ 74214.60000 | Time: 1776204208.936526
[KRAKEN] Trade SOL-USD | sell 0.35863717 @ 83.65000 | Time: 1776204209.264131
[KRAKEN] Trade BTC-USD | sell 0.00134700 @ 74194.40000 | Time: 1776204210.90751
[KRAKEN] Trade BTC-USD | sell 0.00109354 @ 74174.30000 | Time: 1776204211.493803
[KRAKEN] Trade BTC-USD | buy 0.00090000 @ 74174.40000 | Time: 1776204212.097755
[KRAKEN] Trade BTC-USD | buy 0.00010000 @ 74174.40000 | Time: 1776204212.097755
[KRAKEN] Trade SOL-USD | buy 0.06845143 @ 83.61000 | Time: 1776204213.076352
[KRAKEN] Trade SOL-USD | buy 0.26280857 @ 83.63000 | Time: 1776204213.076352
[KRAKEN] Trade BTC-USD | buy 0.00066069 @ 74174.40000 | Time: 1776204215.914472
[KRAKEN] Trade BTC-USD | buy 0.00090000 @ 74186.90000 | Time: 1776204223.376084
[KRAKEN] Trade BTC-USD | buy 0.00591133 @ 74187.90000 | Time: 1776204223.376084
[KRAKEN] Trade BTC-USD | buy 0.00133707 @ 74187.90000 | Time: 1776204223.376084
[KRAKEN] Trade BTC-USD | buy 0.00531942 @ 74187.90000 | Time: 1776204223.376084
[KRAKEN] Trade BTC-USD | buy 0.04890593 @ 74187.90000 | Time: 1776204223.376084
[KRAKEN] Trade BTC-USD | buy 0.01794346 @ 74189.70000 | Time: 1776204223.376084
[KRAKEN] Trade BTC-USD | buy 0.00100000 @ 74189.70000 | Time: 1776204223.510469
[KRAKEN] Trade BTC-USD | buy 0.00400000 @ 74189.70000 | Time: 1776204223.510469
[KRAKEN] Trade BTC-USD | sell 0.00018579 @ 74189.60000 | Time: 1776204223.899273
[KRAKEN] Trade BTC-USD | sell 0.00067771 @ 74186.80000 | Time: 1776204223.899273
[KRAKEN] Trade BTC-USD | buy 0.08994952 @ 74189.70000 | Time: 1776204225.034342
[KRAKEN] Trade BTC-USD | buy 0.00001321 @ 74175.30000 | Time: 1776204230.180468
[KRAKEN] Trade BTC-USD | buy 0.02695800 @ 74175.20000 | Time: 1776204231.337138
[KRAKEN] Trade ETH-USD | sell 0.00276870 @ 2322.35000 | Time: 1776204237.503887
[KRAKEN] Trade ETH-USD | buy 1.93746636 @ 2322.36000 | Time: 1776204237.994906
[KRAKEN] Trade SOL-USD | sell 0.02379000 @ 83.63000 | Time: 1776204241.228988
[KRAKEN] Trade ETH-USD | buy 0.08418287 @ 2322.22000 | Time: 1776204241.896101
[KRAKEN] Trade ETH-USD | buy 0.12632005 @ 2322.22000 | Time: 1776204241.896101
[KRAKEN] Trade ETH-USD | buy 1.18763097 @ 2322.37000 | Time: 1776204245.500274
[KRAKEN] Trade BTC-USD | buy 0.00100000 @ 74174.40000 | Time: 1776204245.959714
[KRAKEN] Trade BTC-USD | buy 0.20946857 @ 74195.00000 | Time: 1776204248.240094
[KRAKEN] Trade BTC-USD | buy 0.00100000 @ 74195.00000 | Time: 1776204248.240095
[KRAKEN] Trade SOL-USD | sell 12.00000000 @ 83.67000 | Time: 1776204250.677271
[KRAKEN] Trade SOL-USD | sell 2.95988933 @ 83.67000 | Time: 1776204250.677271
[KRAKEN] Trade SOL-USD | sell 3.09866396 @ 83.67000 | Time: 1776204250.677271
[KRAKEN] Trade SOL-USD | sell 17.04894678 @ 83.67000 | Time: 1776204250.677271
[KRAKEN] Trade ETH-USD | buy 0.09334284 @ 2323.60000 | Time: 1776204250.695109
[KRAKEN] Trade BTC-USD | buy 0.03950129 @ 74205.10000 | Time: 1776204252.086767
[KRAKEN] Trade ETH-USD | buy 0.00616540 @ 2323.42000 | Time: 1776204254.545323
[KRAKEN] Trade SOL-USD | buy 0.06428000 @ 83.67000 | Time: 1776204254.78182
[KRAKEN] Trade SOL-USD | sell 2.32466630 @ 83.66000 | Time: 1776204255.905042
[KRAKEN] Trade ETH-USD | sell 0.00170545 @ 2323.41000 | Time: 1776204258.537232
[KRAKEN] Trade ETH-USD | sell 0.16666666 @ 2323.40000 | Time: 1776204258.537232
[KRAKEN] Trade ETH-USD | sell 0.04304389 @ 2323.21000 | Time: 1776204258.537233
[KRAKEN] Trade ETH-USD | sell 0.10448186 @ 2323.20000 | Time: 1776204258.537233
[KRAKEN] Trade SOL-USD | buy 0.06899434 @ 83.70000 | Time: 1776204260.461659
[KRAKEN] Trade SOL-USD | buy 0.23100566 @ 83.71000 | Time: 1776204260.461659
[KRAKEN] Trade BTC-USD | buy 0.00100000 @ 74203.20000 | Time: 1776204260.998849
[KRAKEN] Trade BTC-USD | buy 0.00524501 @ 74203.30000 | Time: 1776204260.998849
[KRAKEN] Trade BTC-USD | buy 0.00031241 @ 74203.30000 | Time: 1776204263.315167
[KRAKEN] Trade ETH-USD | buy 0.00228915 @ 2323.99000 | Time: 1776204264.706721
[KRAKEN] Trade BTC-USD | buy 0.01433938 @ 74203.30000 | Time: 1776204266.373792
[KRAKEN] Trade BTC-USD | buy 0.00100000 @ 74203.30000 | Time: 1776204266.373792
[KRAKEN] Trade BTC-USD | buy 0.02047101 @ 74204.90000 | Time: 1776204266.554167
[KRAKEN] Trade BTC-USD | buy 0.03008688 @ 74210.30000 | Time: 1776204266.705824
[KRAKEN] Trade BTC-USD | buy 0.00130814 @ 74214.60000 | Time: 1776204267.797003
[KRAKEN] Trade SOL-USD | buy 0.06884978 @ 83.74000 | Time: 1776204268.476933
[KRAKEN] Trade SOL-USD | buy 0.12244022 @ 83.75000 | Time: 1776204268.476933
[KRAKEN] Trade ETH-USD | buy 0.00215147 @ 2324.00000 | Time: 1776204269.371668
[KRAKEN] Trade ETH-USD | buy 0.05808374 @ 2324.23000 | Time: 1776204269.371668
[KRAKEN] Trade BTC-USD | sell 0.00090000 @ 74214.50000 | Time: 1776204271.434279
[KRAKEN] Trade BTC-USD | sell 0.06431888 @ 74214.50000 | Time: 1776204271.434279
[KRAKEN] Trade BTC-USD | sell 0.06952568 @ 74214.50000 | Time: 1776204271.434279
[KRAKEN] Trade SOL-USD | buy 0.04778000 @ 83.72000 | Time: 1776204277.393413
[KRAKEN] Trade SOL-USD | buy 0.55372000 @ 83.72000 | Time: 1776204283.751576
[KRAKEN] Trade BTC-USD | sell 0.00663622 @ 74204.80000 | Time: 1776204285.355283
[KRAKEN] Trade BTC-USD | sell 0.00007096 @ 74206.90000 | Time: 1776204296.978224
[KRAKEN] Trade BTC-USD | sell 0.00019802 @ 74205.10000 | Time: 1776204297.092753
[KRAKEN] Trade BTC-USD | buy 0.00090000 @ 74204.90000 | Time: 1776204299.792822
[KRAKEN] Trade BTC-USD | buy 0.00565775 @ 74204.90000 | Time: 1776204299.792822
[KRAKEN] Trade SOL-USD | buy 0.02129477 @ 83.73000 | Time: 1776204302.543833
[KRAKEN] Trade SOL-USD | buy 0.21011523 @ 83.73000 | Time: 1776204302.543833
[KRAKEN] Trade ETH-USD | buy 0.08897667 @ 2323.01000 | Time: 1776204303.773851
